dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.002471,5.732002,0.003661,0.146424,2.928486,58.569724,0.001536
0.050000,3.009977,5.732031,0.011167,0.150128,0.074067,-57.088386,0.006284
0.050000,3.022348,5.732159,0.023538,0.247417,1.945779,37.434236,0.014388
0.050000,3.039357,5.732502,0.040551,0.340262,1.856910,-1.777383,0.026152
0.050000,3.060663,5.733227,0.061869,0.426354,1.721841,-2.701371,0.042037
0.050000,3.085767,5.734538,0.087007,0.502766,1.528241,-3.872008,0.062703
0.050000,3.113968,5.736673,0.115289,0.565649,1.257663,-5.411542,0.089076
0.050000,3.144291,5.739877,0.145780,0.609822,0.883449,-7.484287,0.122432
0.050000,3.175384,5.744343,0.177193,0.628252,0.368604,-10.296904,0.164529
0.050000,3.205412,5.750113,0.207770,0.611545,-0.334141,-14.054905,0.217768
0.050000,3.231960,5.756871,0.235165,0.547897,-1.272968,-18.776524,0.285354
0.050000,3.252103,5.763636,0.256413,0.424967,-2.458598,-23.712611,0.371336
0.050000,3.262957,5.768422,0.268276,0.237255,-3.754229,-25.912619,0.480144
0.050000,3.263227,5.768430,0.268547,0.005406,-4.636991,-17.655232,0.614845
0.050000,3.255633,5.762001,0.278497,0.199009,3.872077,170.181350,0.773476
0.050000,3.247590,5.752761,0.290747,0.245009,0.919998,-59.041588,0.945257
0.050000,3.246572,5.751537,0.292339,0.031831,-4.263573,-103.671413,1.112435
0.050000,3.254004,5.770848,0.313031,0.413836,7.640114,238.073736,1.259175
0.050000,3.265658,5.817677,0.361288,0.965139,11.026061,67.718941,1.378243
0.050000,3.276362,5.892590,0.436962,1.513474,10.966693,-1.187346,1.469861
0.050000,3.282796,5.993000,0.537578,2.012322,9.976965,-19.794560,1.537415
0.050000,3.283729,6.115930,0.660512,2.458681,8.927177,-20.995775,1.584493
0.050000,3.279424,6.259258,0.803904,2.867853,8.183437,-14.874795,1.613632
0.050000,3.271193,6.422123,0.966976,3.261442,7.871776,-6.233224,1.625893
0.050000,3.261618,6.599048,1.144161,3.543694,5.645046,-44.534597,1.621016
0.050000,3.254143,6.782696,1.327961,3.675996,2.646030,-59.980316,1.599235
0.050000,3.252193,6.971799,1.517074,3.782265,2.125382,-10.412958,1.560183
0.050000,3.259675,7.167487,1.712905,3.916612,2.686950,11.231346,1.501931
0.050000,3.281661,7.371190,1.917791,4.097721,3.622170,18.704408,1.421268
0.050000,3.324943,7.583462,2.134430,4.332792,4.701419,21.584971,1.314481
0.050000,3.397725,7.801534,2.364328,4.597945,5.303065,12.032935,1.179484
0.050000,3.506657,8.016038,2.604906,4.811569,4.272483,-20.611637,1.019781
0.050000,3.650612,8.210829,2.847117,4.844228,0.653180,-72.386075,0.847788
0.050000,3.817067,8.370492,3.077769,4.613024,-4.624078,-105.545149,0.681631
0.050000,3.988175,8.489615,3.286258,4.169793,-8.864617,-84.810793,0.535858
0.050000,4.150262,8.573012,3.468542,3.645668,-10.482507,-32.357801,0.415989
0.050000,4.296856,8.629469,3.625632,3.141799,-10.077380,8.102549,0.320602
0.050000,4.426421,8.667080,3.760545,2.698269,-8.870608,24.135448,0.245548
0.050000,4.539623,8.691872,3.876431,2.317711,-7.611152,25.189107,0.186507
0.050000,4.637780,8.708004,3.975904,1.989467,-6.564875,20.925553,0.139895
0.050000,4.722213,8.718289,4.060961,1.701143,-5.766486,15.967766,0.102983
0.050000,4.794047,8.724642,4.133075,1.442283,-5.177197,11.785780,0.073753
0.050000,4.854176,8.728383,4.193321,1.204904,-4.747576,8.592437,0.050738
0.050000,4.903288,8.730434,4.242476,0.983100,-4.436086,6.229798,0.032872
0.050000,4.941900,8.731442,4.281101,0.772505,-4.211906,4.483584,0.019391
0.050000,4.970389,8.731856,4.309593,0.569836,-4.053368,3.170776,0.009751
0.050000,4.989016,8.731980,4.328220,0.372549,-3.945743,2.152495,0.003586
0.050000,4.997945,8.731999,4.337149,0.178577,-3.879444,1.325976,0.000668
0.050000,5.000000,8.732000,4.339204,0.041109,-2.749368,22.601523,0.000000
0.050000,5.000000,8.732000,4.339204,0.000000,-0.822171,38.543945,0.000000
